product,num_users
3544,19.0
5073,43.0
6149,87.0
7863,83.0
14,17.0
10247,2.0
3544,29.0
5073,13.0
6149,80.0
7863,23.0
14,26.0
10247,6.0
3544,15.0
5073,43.0
6149,41.0
7863,12.0
14,58.0
10247,7.0
3544,34.0
5073,45.0
6149,19.0
7863,2.0
14,82.0
10247,23.0
3544,31.0
5073,16.0
6149,53.0
7863,26.0
14,73.0
10247,1.0
3544,66.0
5073,13.0
6149,14.0
7863,3.0
14,33.0
10247,52.0
3544,32.0
5073,53.0
6149,37.0
7863,47.0
14,99.0
10247,89.0
3544,50.0
5073,40.0
6149,17.0
7863,17.0
14,2.0
10247,65.0
3544,19.0
5073,79.0
6149,74.0
7863,42.0
14,48.0
10247,12.0
3544,24.0
5073,24.0
6149,42.0
7863,17.0
14,90.0
10247,6.0
3544,2.0
5073,27.0
6149,3.0
7863,94.0
14,59.0
10247,50.0
3544,51.0
5073,19.0
6149,7.0
7863,2.0
14,51.0
10247,55.0
3544,78.0
5073,42.0
6149,9.0
7863,3.0
14,39.0
10247,27.0
3544,42.0
5073,22.0
6149,38.0
7863,43.0
14,68.0
10247,3.0
3544,24.0
5073,1.0
6149,10.0
7863,3.0
14,82.0
10247,65.0
3544,17.0
5073,2.0
6149,92.0
7863,35.0
14,73.0
10247,18.0
3544,39.0
5073,35.0
6149,33.0
7863,23.0
14,48.0
10247,63.0
3544,63.0
5073,14.0
6149,39.0
7863,47.0
14,13.0
10247,99.0
3544,56.0
5073,22.0
6149,44.0
7863,24.0
14,12.0
10247,4.0
3544,18.0
5073,58.0
6149,81.0
7863,12.0
14,85.0
10247,37.0
3544,96.0
5073,12.0
6149,16.0
7863,1.0
14,65.0
10247,44.0
3544,16.0
5073,7.0
6149,80.0
7863,53.0
14,82.0
10247,25.0
3544,90.0
5073,98.0
6149,29.0
7863,67.0
14,32.0
10247,89.0
3544,11.0
5073,9.0
6149,45.0
7863,8.0
14,17.0
10247,72.0
3544,89.0
5073,63.0
6149,68.0
7863,23.0
14,52.0
10247,36.0
3544,17.0
5073,2.0
6149,71.0
7863,54.0
14,8.0
10247,5.0
3544,58.0
5073,5.0
6149,20.0
7863,29.0
14,60.0
10247,31.0
3544,59.0
5073,31.0
6149,29.0
7863,6.0
14,11.0
10247,9.0
3544,8.0
5073,5.0
6149,59.0
7863,66.0
14,55.0
10247,23.0
3544,12.0
5073,28.0
6149,34.0
7863,72.0
14,28.0
10247,84.0
3544,15.0
5073,80.0
6149,23.0
7863,16.0
14,5.0
10247,94.0
3544,4.0
5073,61.0
6149,50.0
7863,84.0
14,53.0
10247,21.0
3544,26.0
5073,50.0
6149,33.0
7863,65.0
14,69.0
10247,93.0
3544,29.0
5073,3.0
6149,49.0
7863,29.0
14,29.0
10247,97.0
3544,62.0
5073,12.0
6149,4.0
7863,13.0
14,33.0
10247,45.0
3544,28.0
5073,5.0
6149,33.0
7863,67.0
14,86.0
10247,51.0
3544,26.0
5073,13.0
6149,96.0
7863,25.0
14,81.0
10247,54.0
3544,87.0
5073,21.0
6149,46.0
7863,45.0
14,42.0
10247,81.0
3544,99.0
5073,14.0
6149,7.0
7863,9.0
14,16.0
10247,99.0
3544,2.0
5073,10.0
6149,22.0
7863,54.0
14,33.0
10247,14.0
3544,33.0
5073,74.0
6149,36.0
7863,40.0
14,52.0
10247,6.0
3544,65.0
5073,4.0
6149,83.0
7863,31.0
14,10.0
10247,14.0
3544,2.0
5073,74.0
6149,21.0
7863,62.0
14,19.0
10247,11.0
3544,93.0
5073,58.0
6149,83.0
7863,4.0
14,66.0
10247,40.0
3544,30.0
5073,15.0
6149,32.0
7863,20.0
14,33.0
10247,7.0
3544,33.0
5073,26.0
6149,90.0
7863,16.0
14,63.0
10247,15.0
3544,85.0
5073,87.0
6149,5.0
7863,13.0
14,6.0
10247,1.0
3544,76.0
5073,43.0
6149,62.0
7863,1.0
14,96.0
10247,56.0
3544,32.0
5073,62.0
6149,28.0
7863,87.0
14,21.0
10247,15.0
3544,39.0
5073,56.0
6149,18.0
7863,3.0
14,9.0
10247,7.0
3544,56.0
5073,44.0
6149,7.0
7863,38.0
14,8.0
10247,10.0
3544,88.0
5073,63.0
6149,57.0
7863,20.0
14,90.0
10247,49.0
3544,11.0
5073,26.0
6149,43.0
7863,8.0
14,1.0
10247,11.0
3544,41.0
5073,4.0
6149,47.0
7863,42.0
14,29.0
10247,3.0
3544,1.0
5073,37.0
6149,34.0
7863,19.0
14,2.0
10247,74.0
3544,90.0
5073,61.0
6149,15.0
7863,58.0
14,23.0
10247,4.0
3544,53.0
5073,6.0
6149,22.0
7863,76.0
14,17.0
10247,10.0
3544,75.0
5073,6.0
6149,4.0
7863,25.0
14,27.0
10247,20.0
3544,33.0
5073,59.0
6149,10.0
7863,31.0
14,73.0
10247,56.0
3544,99.0
5073,9.0
6149,30.0
7863,30.0
14,78.0
10247,37.0
3544,1.0
5073,60.0
6149,41.0
7863,28.0
14,1.0
10247,39.0
3544,14.0
5073,46.0
6149,25.0
7863,29.0
14,83.0
10247,78.0
3544,55.0
5073,40.0
6149,17.0
7863,25.0
14,1.0
10247,20.0
3544,23.0
5073,12.0
6149,12.0
7863,3.0
14,1.0
10247,12.0
3544,61.0
5073,41.0
6149,58.0
7863,6.0
14,61.0
10247,45.0
3544,77.0
5073,28.0
6149,3.0
7863,24.0
14,67.0
10247,55.0
3544,33.0
5073,41.0
6149,55.0
7863,35.0
14,85.0
10247,9.0
3544,30.0
5073,11.0
6149,11.0
7863,8.0
14,2.0
10247,45.0
3544,47.0
5073,22.0
6149,85.0
7863,1.0
14,5.0
10247,4.0
3544,72.0
5073,88.0
6149,94.0
7863,44.0
14,60.0
10247,36.0
3544,7.0
5073,11.0
6149,24.0
7863,62.0
14,33.0
